,manufacturer,model_name,category,screen_size_inch,cpu,ram_gb,storage,gpu,os,os_version,weight,price_euros,cpu_manufacturer,gpu_manufacturer,screen_width_px,screen_height_px,cpu_speed_GHz
319,Acer,TravelMate B,Notebook,11.6,Intel Pentium Quad Core N3710 1.6GHz,4,128GB Flash Storage,Intel HD Graphics 405,Windows,10,1.4kg,485.0,Intel,Intel,1366,768,1.6
320,HP,Elitebook 840,Notebook,14.0,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.48kg,1292.0,Intel,Intel,1920,1080,2.7
321,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Nvidia GeForce 920MX,Windows,10,2.79kg,589.0,Intel,Nvidia,1600,900,2.5
322,Asus,ZenBook UX410UA-GV183T,Notebook,14.0,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,2kg,1094.0,Intel,Intel,1920,1080,2.7
323,HP,ProBook 450,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Intel UHD Graphics 620,Windows,10,2.1kg,902.0,Intel,Intel,1366,768,1.8
324,Acer,Aspire 5,Notebook,15.6,AMD A12-Series 9720P 2.7GHz,8,256GB SSD,AMD Radeon RX 540,Windows,10,2.2kg,659.0,AMD,AMD,1366,768,2.7
325,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.44kg,292.0,Intel,Intel,1366,768,1.1
326,Acer,Aspire E5-575,Notebook,15.6,Intel Core i5 7200U 2.5GHz,6,1TB HDD,Intel HD Graphics 620,Windows,10,2.23kg,549.0,Intel,Intel,1366,768,2.5
327,Asus,VivoBook S15,Ultrabook,15.6,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.7kg,1049.9,Intel,Nvidia,1920,1080,2.7
328,HP,Elitebook 820,Ultrabook,12.5,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.26kg,1335.0,Intel,Intel,1920,1080,2.7
329,Dell,XPS 15,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,32,1TB SSD,Nvidia GeForce GTX 1050,Windows,10,2.06kg,2639.0,Intel,Nvidia,3840,2160,2.8
330,MSI,GL72M 7REX,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.7kg,1199.0,Intel,Nvidia,1920,1080,2.8
331,Toshiba,Satellite Pro,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,2.0kg,943.0,Intel,Intel,1920,1080,2.5
332,Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,Intel Core i7 7500U 2.7GHz,8,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows,10,2kg,1334.0,Intel,Intel,1920,1080,2.7
333,Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,Windows,10,1.85kg,449.0,Intel,Intel,1920,1080,2.0
334,Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,999.0,Intel,Nvidia,1920,1080,2.8
335,HP,EliteBook 840,Notebook,14.0,Intel Core i5 7300U 2.6GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.48kg,1268.0,Intel,Intel,1920,1080,2.6
336,Dell,Inspiron 7570,Ultrabook,15.6,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,10,1.9kg,1049.0,Intel,Nvidia,1920,1080,1.6
337,HP,Elitebook 850,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.84kg,1144.0,Intel,Intel,1920,1080,2.5
338,Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,Linux,,2kg,274.99,Intel,Intel,1366,768,1.1
339,Dell,Inspiron 7570,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows,10,2kg,1142.75,Intel,Nvidia,1920,1080,1.6
340,Dell,Inspiron 3552,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel HD Graphics,Linux,,2.2kg,274.9,Intel,Intel,1366,768,1.6
341,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,AMD A12-Series 9720P 3.6GHz,12,2TB HDD,AMD Radeon 530,Windows,10,2.2kg,899.0,AMD,AMD,1920,1080,3.6
342,HP,ProBook 450,Notebook,15.6,Intel Core i3 7100U 2.4GHz,8,1TB HDD,Nvidia GeForce 930MX ,Windows,10,2.1kg,716.0,Intel,Nvidia,1920,1080,2.4
343,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows,10,1.4kg,2099.0,Intel,Intel,3840,2160,1.8
344,Dell,XPS 13,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.2kg,1579.0,Intel,Intel,1920,1080,1.8
345,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.4kg,1129.0,Intel,Nvidia,1920,1080,2.8
346,HP,Stream 14-AX001nv,Notebook,14.0,Intel Celeron Dual Core N3060 1.6GHz,2,32GB Flash Storage,Intel HD Graphics 400,Windows,10,1.44kg,279.0,Intel,Intel,1366,768,1.6
347,Dell,Latitude 5590,Ultrabook,15.6,Intel Core i7 8650U 1.9GHz,16,512GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows,10,1.88kg,1607.96,Intel,Intel,1920,1080,1.9
348,Asus,VivoBook Flip,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.5kg,375.0,Intel,Intel,1366,768,1.1
349,Dell,Inspiron 5570,Ultrabook,15.6,Intel Core i5 8250U 1.6GHz,8,1TB HDD,AMD Radeon 530,Windows,10,1.9kg,663.0,Intel,AMD,1920,1080,1.6
350,Dell,XPS 15,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.06kg,2027.42,Intel,Nvidia,3840,2160,2.8
351,HP,Elitebook 850,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.84kg,1304.0,Intel,Intel,1920,1080,2.7
352,MSI,GP72MVR 7RFX,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.7kg,1409.0,Intel,Nvidia,1920,1080,2.8
353,HP,Zbook 15,Workstation,15.6,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia Quadro M1200,Windows,10,2.6kg,1738.27,Intel,Nvidia,1920,1080,2.8
354,Toshiba,Tecra A50-C-21G,Notebook,15.6,Intel Core i7 6500U 2.5GHz,16,512GB SSD,Nvidia GeForce 930M,Windows,10,2.4kg,1403.0,Intel,Nvidia,1920,1080,2.5
355,Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.02kg,970.9,Intel,AMD,1920,1080,1.8
356,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,No OS,,2.2kg,321.99,Intel,Intel,1366,768,1.1
357,Dell,Inspiron 7577,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.65kg,999.0,Intel,Nvidia,1920,1080,2.5
358,Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,2TB HDD,Intel HD Graphics 620,Windows,10,2.36kg,557.37,Intel,Intel,1366,768,2.5
359,Dell,Latitude 7480,Notebook,14.0,Intel Core i5 7300U 2.6GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.36kg,1427.0,Intel,Intel,1920,1080,2.6
360,HP,250 G6,Notebook,15.6,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,Windows,10,1.86kg,439.0,Intel,Intel,1366,768,2.0
361,Asus,Zenbook UX410UA-GV027T,Notebook,14.0,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,2kg,945.0,Intel,Intel,1920,1080,2.5
362,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Intel Core i5 7200U 2.5GHz,6,128GB SSD +  1TB HDD,Nvidia GeForce GTX 940MX,Windows,10,2.8kg,719.0,Intel,Nvidia,1600,900,2.5
363,HP,250 G6,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Intel HD Graphics 620,Windows,10,1.86kg,639.0,Intel,Intel,1920,1080,2.5
364,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel Core i3 6006U 2GHz,8,256GB SSD,Nvidia GeForce 920MX ,No OS,,2.2kg,499.0,Intel,Nvidia,1366,768,2.0
365,HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,Intel Pentium Quad Core N3710 1.6GHz,8,2TB HDD,Intel HD Graphics 405,Windows,10,2.04kg,389.0,Intel,Intel,1366,768,1.6
366,Dell,Inspiron 5770,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.8kg,1085.0,Intel,AMD,1920,1080,1.6
367,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,No OS,,2.4kg,809.0,Intel,Nvidia,1920,1080,2.5
368,Dell,Inspiron 5567,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon R7 M445,Windows,10,2.33kg,899.0,Intel,AMD,1920,1080,2.7
369,HP,Elitebook 1040,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.36kg,1750.0,Intel,Intel,1920,1080,2.7
370,Asus,ZenBook Flip,2 in 1 Convertible,15.6,Intel Core i7 7500U 2.7GHz,12,512GB SSD +  2TB HDD,Nvidia GeForce GT 940MX,Windows,10,2.26kg,1099.0,Intel,Nvidia,1920,1080,2.7
371,Acer,Aspire 3,Notebook,15.6,AMD A9-Series 9420 3GHz,4,128GB SSD,AMD Radeon R5,Windows,10,2.1kg,426.0,AMD,AMD,1366,768,3.0
372,Asus,Rog Strix,Gaming,17.3,AMD Ryzen 1700 3GHz,16,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,10,3.25kg,2199.0,AMD,AMD,1920,1080,3.0
373,Lenovo,IdeaPad 110-17ACL,Notebook,17.3,AMD A8-Series 7410 2.2GHz,4,128GB SSD,AMD Radeon R5,Windows,10,2.6kg,489.0,AMD,AMD,1600,900,2.2
374,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.62kg,869.01,Intel,Intel,1920,1080,1.8
375,HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,AMD A9-Series 9420 3GHz,4,256GB SSD,AMD Radeon R5,Windows,10,1.91kg,488.99,AMD,AMD,1920,1080,3.0
376,Lenovo,Yoga 11e,Netbook,11.6,Intel Celeron Quad Core N3450 1.1GHz,4,128GB SSD,Intel HD Graphics 500,Windows,10,1.59kg,553.0,Intel,Intel,1366,768,1.1
377,Dell,Inspiron 3552,Notebook,15.6,Intel Celeron Dual Core N3060 1.60GHz,4,500GB HDD,Intel HD Graphics 400,Windows,10,1.8kg,309.0,Intel,Intel,1366,768,1.6
378,Asus,VivoBook E403NA,Notebook,14.0,Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.5kg,286.0,Intel,Intel,1366,768,1.1
379,Acer,Aspire 7,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,Linux,,2.4kg,846.0,Intel,Nvidia,1920,1080,2.8
380,HP,Omen 17-w212nv,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,3.35kg,1191.0,Intel,Nvidia,1920,1080,2.8
381,Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,No OS,,1.85kg,403.5,Intel,Intel,1920,1080,2.0
382,Asus,ROG Strix,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.3kg,1655.0,Intel,Nvidia,1920,1080,2.8
383,Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.5kg,1099.0,Intel,Nvidia,1920,1080,2.5
384,Asus,Zenbook Flip,Ultrabook,13.3,Intel Core i7 7500U 2.7GHz,16,512GB SSD,Intel HD Graphics 620,Windows,10,1.1kg,1748.9,Intel,Intel,1920,1080,2.7
385,Lenovo,Thinkpad X1,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,8,512GB SSD,Intel HD Graphics 620,Windows,10,1.13kg,2282.0,Intel,Intel,2560,1440,2.7
386,Lenovo,Ideapad 510S-13IKB,Notebook,13.3,Intel Core i3 7100U 2.4GHz,4,128GB SSD,Intel HD Graphics 620,Windows,10,1.5kg,549.0,Intel,Intel,1920,1080,2.4
387,Dell,Precision 3510,Workstation,15.6,Intel Core i5 6440HQ 2.6GHz,8,500GB HDD,AMD FirePro W5130M,Windows,10,2.23kg,1369.0,Intel,AMD,1920,1080,2.6
388,Dell,Precision 5520,Workstation,15.6,Intel Core i7 6820HQ 2.7GHz,8,256GB SSD,Nvidia Quadro M1200,Windows,10,2kg,2135.0,Intel,Nvidia,1920,1080,2.7
389,Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Intel Core i7 7500U 2.7GHz,16,512GB SSD,Intel HD Graphics 620,Windows,10,1.42kg,2509.0,Intel,Intel,2560,1440,2.7
390,Asus,Rog GL753VD-GC042T,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,3kg,1039.0,Intel,Nvidia,1920,1080,2.8
391,Asus,Rog GL753VE-GC070T,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,3kg,1591.0,Intel,Nvidia,1920,1080,2.8
392,Acer,Aspire 5,Notebook,15.6,Intel Core i5 8250U 1.6GHz,12,1TB HDD,Nvidia GeForce MX130,Windows,10,2.2kg,693.99,Intel,Nvidia,1366,768,1.6
393,MSI,Leopard GP72M,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.7kg,1349.0,Intel,Nvidia,1920,1080,2.8
394,Dell,Inspiron 5567,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon R7 M445,Linux,,2.33kg,778.87,Intel,AMD,1920,1080,2.7
395,HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,AMD A9-Series 9420 3GHz,4,256GB SSD,AMD Radeon 520,Windows,10,1.91kg,499.0,AMD,AMD,1920,1080,3.0
396,Lenovo,ThinkPad E580,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon RX 550,Windows,10,2.1kg,1229.56,Intel,AMD,1920,1080,1.8
397,Lenovo,ThinkPad L470,Notebook,14.0,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.9kg,938.0,Intel,Intel,1920,1080,2.5
398,Dell,Precision M5520,Workstation,15.6,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia Quadro M1200,Windows,10,1.78kg,2712.0,Intel,Nvidia,3840,2160,2.8
399,Lenovo,Thinkpad X1,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,16,1TB SSD,Intel HD Graphics 620,Windows,10,1.13kg,2625.0,Intel,Intel,2560,1440,2.7
400,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,Windows,10,2.2kg,306.0,Intel,Intel,1366,768,1.1
401,Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.9kg,1529.0,Intel,Nvidia,1920,1080,2.8
402,Lenovo,ThinkPad E580,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD +  1TB HDD,AMD Radeon RX 550,Windows,10,2.1kg,1144.5,Intel,AMD,1920,1080,1.6
403,Acer,Aspire 7,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050,Linux,,2.5kg,879.0,Intel,Nvidia,1920,1080,2.8
404,MSI,GE73VR 7RF,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.8kg,2249.0,Intel,Nvidia,1920,1080,2.8
405,Asus,Zenbook 3,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,8,512GB SSD,Intel HD Graphics 620,Windows,10,1.10kg,1873.0,Intel,Intel,1920,1080,2.7
406,Toshiba,Portege Z30-C-16P,Ultrabook,13.3,Intel Core i7 6500U 2.5GHz,16,512GB SSD,Intel HD Graphics 520,Windows,10,1.2kg,1747.0,Intel,Intel,1920,1080,2.5
407,Dell,Latitude 7480,Ultrabook,14.0,Intel Core i7 7600U 2.8GHz,8,512GB SSD,Intel HD Graphics,Windows,10,1.36kg,1680.0,Intel,Intel,1920,1080,2.8
408,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,Windows,10,2.2kg,409.0,Intel,Intel,1920,1080,2.0
409,Lenovo,Lenovo IdeaPad,Notebook,11.6,Intel Celeron Dual Core N3350 1.1GHz,2,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.15kg,304.45,Intel,Intel,1366,768,1.1
410,Lenovo,ThinkPad P51,Workstation,15.6,Intel Core i7 7700HQ 2.8GHz,8,512GB SSD,Nvidia Quadro M1200,Windows,10,2.67kg,1925.0,Intel,Nvidia,1920,1080,2.8
411,Lenovo,Thinkpad T470p,Ultrabook,14.0,Intel Core i7 7700HQ 2.8GHz,8,512GB SSD,Nvidia GeForce GT 940MX,Windows,10,1.7kg,1943.0,Intel,Nvidia,2560,1440,2.8
412,HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,AMD Radeon 520,Windows,10,2.1kg,469.0,Intel,AMD,1920,1080,2.0
413,Acer,Aspire R7,2 in 1 Convertible,13.3,Intel Core i7 6500U 2.5GHz,8,256GB SSD,Intel HD Graphics 520,Windows,10,1.6kg,789.01,Intel,Intel,1920,1080,2.5
414,Asus,ZenBook Flip,2 in 1 Convertible,13.3,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.27kg,928.0,Intel,Intel,1920,1080,2.5
415,Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,256GB SSD,AMD Radeon R5 M430,Linux,,2.3kg,598.9,Intel,AMD,1920,1080,2.5
416,Dell,Latitude 3380,Notebook,13.3,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,Windows,10,1.65kg,689.0,Intel,Intel,1366,768,2.0
417,HP,EliteBook 1040,Ultrabook,14.0,Intel Core i7 6500U 2.5GHz,8,256GB SSD,Intel HD Graphics 520,Windows,10,1.43kg,1500.0,Intel,Intel,1920,1080,2.5
418,Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Intel HD Graphics 620,Windows,10,2.14kg,539.95,Intel,Intel,1366,768,2.5
419,Lenovo,ThinkPad E480,Ultrabook,14.0,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon RX 550,Windows,10,1.75kg,1215.38,Intel,AMD,1920,1080,1.8
420,Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050,Windows,10,2kg,1899.0,Intel,Nvidia,3840,2160,2.8
421,Chuwi,LapBook 12.3,Notebook,12.3,Intel Celeron Quad Core N3450 1.1GHz,6,64GB Flash Storage,Intel HD Graphics 500,Windows,10,1.4kg,449.0,Intel,Intel,2736,1824,1.1
422,HP,ProBook 650,Notebook,15.6,Intel Core i7 7820HQ 2.9GHz,8,256GB SSD,Intel HD Graphics 630,Windows,10,2.31kg,1427.0,Intel,Intel,1920,1080,2.9
423,Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,Intel Core i3 7100U 2.4GHz,8,1TB HDD,Nvidia GeForce 940MX,Linux,,2.3kg,597.0,Intel,Nvidia,1920,1080,2.4
424,Dell,Alienware 17,Gaming,17.3,Intel Core i7 7820HK 2.9GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.42kg,2799.0,Intel,Nvidia,2560,1440,2.9
425,Dell,Inspiron 7577,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.62kg,1159.0,Intel,Nvidia,1920,1080,2.8
426,Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.02kg,1142.4,Intel,AMD,1920,1080,1.8
427,Dell,Latitude 5480,Ultrabook,14.0,Intel Core i7 7600U 2.8GHz,8,256GB SSD,Intel HD Graphics 620,Linux,,1.6kg,1099.0,Intel,Intel,1920,1080,2.8
428,HP,Omen 17-w207nv,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,12,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,3.35kg,1999.0,Intel,Nvidia,1920,1080,2.8
429,Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 1.1GHz,4,32GB SSD,Intel HD Graphics 500,Windows,10,1.16kg,299.0,Intel,Intel,1920,1080,1.1
430,Samsung,Chromebook 3,Netbook,11.6,Intel Celeron Dual Core N3060 1.6GHz,4,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,,1.15kg,269.0,Intel,Intel,1366,768,1.6
431,Lenovo,Thinkpad 13,Notebook,13.3,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.4kg,1010.0,Intel,Intel,1920,1080,2.7
432,Lenovo,IdeaPad 320s-14IKB,Notebook,14.0,Intel Core i3 7130U 2.7GHz,4,128GB SSD,Intel HD Graphics 620,Windows,10,1.7kg,599.0,Intel,Intel,1920,1080,2.7
433,Lenovo,Thinkpad T570,Workstation,15.6,Intel Core i7 7600U 2.8GHz,16,512GB SSD,Nvidia GeForce 940MX,Windows,10,2.3kg,2445.0,Intel,Nvidia,3840,2160,2.8
434,Lenovo,Thinkpad P51,Notebook,15.6,Intel Core i7 7820HQ 2.9GHz,16,512GB SSD,Nvidia Quadro M2200M,Windows,10,2.5kg,2449.0,Intel,Nvidia,1920,1080,2.9
435,Asus,Rog Strix,Gaming,17.3,AMD Ryzen 1600 3.2GHz,8,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,10,3.2kg,1695.0,AMD,AMD,1920,1080,3.2
436,HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel HD Graphics 400,Windows,10,2.1kg,347.0,Intel,Intel,1366,768,1.6
437,Google,Pixelbook (Core,Ultrabook,12.3,Intel Core i7 7Y75 1.3GHz,16,512GB SSD,Intel HD Graphics 615,Chrome OS,,1.1kg,2199.0,Intel,Intel,2400,1600,1.3
438,Lenovo,ThinkPad T470s,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,24,512GB SSD,Intel HD Graphics 620,Windows,10,1.32kg,2382.0,Intel,Intel,2560,1440,2.7
439,Asus,VivoBook Max,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,Linux,,2kg,559.0,Intel,Intel,1920,1080,2.5
440,Lenovo,IdeaPad 320-15AST,Notebook,17.3,AMD A6-Series 9220 2.5GHz,8,1TB HDD,AMD Radeon R4,Windows,10,2.8kg,519.0,AMD,AMD,1600,900,2.5
441,Dell,Inspiron 5570,Notebook,15.6,Intel Core i5 8250U 1.6GHz,4,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,749.0,Intel,AMD,1920,1080,1.6
442,Lenovo,ThinkPad X270,Ultrabook,12.5,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.36kg,1429.0,Intel,Intel,1920,1080,2.5
443,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel Pentium Quad Core N4200 1.1GHz,4,128GB SSD,Intel HD Graphics 505,Windows,10,2.2kg,349.0,Intel,Intel,1920,1080,1.1
444,HP,Omen 15-AX205na,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.2kg,1099.0,Intel,Nvidia,1920,1080,2.8
445,Dell,Latitude 5480,Notebook,14.0,Intel Core i5 7440HQ 2.8GHz,8,256GB SSD,Nvidia GeForce 930MX,Windows,10,1.64kg,1179.0,Intel,Nvidia,1920,1080,2.8
446,Acer,Aspire ES1-572,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,500GB HDD,Intel HD Graphics 620,Linux,,2.4kg,441.8,Intel,Intel,1366,768,2.5
447,Dell,Precision 3520,Workstation,15.6,Intel Xeon E3-1505M V6 3GHz,8,64GB Flash Storage +  1TB HDD,Nvidia Quadro M620,Windows,10,2.23kg,1993.0,Intel,Nvidia,1920,1080,3.0
448,MSI,GV62 7RD-1686NL,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.2kg,1027.74,Intel,Nvidia,1920,1080,2.5
449,Microsoft,Surface Laptop,Ultrabook,13.5,Intel Core i7 7660U 2.5GHz,16,512GB SSD,Intel Iris Plus Graphics 640,Windows,10 S,1.25kg,2589.0,Intel,Intel,2256,1504,2.5
